,EUR,GBP,INR,AUD,CAD,SGD,CHF,MYR,JPY,CNY,ARS,BHD,BWP,BRL,BND,BGN,CLP,COP,HRK,CZK,DKK,HKD,HUF,ISK,IDR,IRR,ILS,KZT,KRW,KWD,LYD,MUR,MXN,NPR,NZD,NOK,OMR,PKR,PHP,PLN,QAR,RON,RUB,SAR,ZAR,LKR,SEK,TWD,THB,TTD,TRY,AED,VEF
2022-10-23,1.013896,0.884421,82.488843,1.577364,1.361732,1.415214,0.997404,4.738905,147.406414,7.20959,153.814664,0.376,13.384593,5.163979,1.415214,1.983009,970.280371,4915.847332,7.638153,24.826128,7.541672,7.849362,415.340445,144.484082,15577.062708,42025.830753,3.554703,472.32186,1428.849222,0.311399,5.024301,44.599234,19.956866,132.044016,1.72715,10.771119,0.3841,220.903503,58.866609,4.843517,3.64,5.009189,61.597723,3.75,18.292864,365.964263,11.197589,32.112052,37.99448,6.761813,18.583717,3.6725,835635.407552
2022-10-22,1.014087,0.88456,82.534544,1.571173,1.364763,1.415205,0.997668,4.738553,147.636478,7.232767,153.815896,0.376,13.384593,5.168041,1.415205,1.983382,967.720378,4908.972629,7.638719,24.827657,7.541216,7.849624,414.794934,144.425448,15614.409506,42095.780857,3.539224,471.929958,1428.959796,0.311258,5.025671,44.558492,19.927858,132.117172,1.735072,10.642315,0.384199,220.913659,58.868471,4.841542,3.64,4.990036,61.649186,3.75,18.093059,365.964263,11.198676,32.121938,37.995652,6.762728,18.583789,3.6725,835641.005112
2022-10-21,1.014949,0.885622,82.592738,1.570721,1.368018,1.418143,0.998627,4.736237,146.45984,7.243261,153.82219,0.376,13.407981,5.177825,1.418143,1.985067,969.334342,4898.707302,7.648703,24.856315,7.550703,7.850171,416.540689,144.246291,15553.864443,42469.62716,3.547322,473.265693,1432.63041,0.310159,5.039239,43.972734,19.902406,132.210326,1.738474,10.534062,0.385057,220.828055,58.77989,4.841961,3.64,4.986161,61.678696,3.75,18.130145,366.97241,11.21372,32.12332,38.096178,6.774951,18.603514,3.6725,835857.281167
2022-10-20,1.017995,0.886031,82.666447,1.578572,1.371869,1.41997,1.000403,4.728597,149.837053,7.216334,153.500499,0.376,13.407405,5.207516,1.41997,1.991025,971.715209,4872.320885,7.669437,24.967334,7.572437,7.84939,414.434241,143.631931,15528.381615,42424.855029,3.535428,469.727641,1424.155733,0.310479,5.029679,45.412712,20.035743,132.328316,1.748376,10.584569,0.385026,220.936666,58.741569,4.854509,3.64,5.005865,61.573318,3.75,18.218762,366.995475,11.20624,32.016014,38.097587,6.769645,18.600468,3.6725,830616.455633
2022-10-19,1.022172,0.890086,82.965542,1.594317,1.378206,1.424891,1.003925,4.720063,149.770611,7.229561,153.170405,0.376,13.397023,5.281158,1.424891,1.999194,978.16125,4809.392459,7.699973,25.082308,7.604354,7.850101,422.764587,144.200919,15537.212532,42162.977558,3.538555,470.263349,1434.363825,0.310372,5.027927,44.549042,20.125049,132.807092,1.763971,10.619166,0.385014,220.987328,59.028348,4.905242,3.64,5.029815,62.536651,3.75,18.285597,367.017198,11.20714,32.083028,38.255673,6.766962,18.594733,3.6725,836075.567167
2022-10-18,1.016156,0.884525,82.306558,1.59186,1.37883,1.422392,0.996456,4.716253,149.222587,7.200249,152.821823,0.376,13.376253,5.292479,1.422392,1.987429,976.403418,4748.595435,7.654412,24.959988,7.559957,7.850233,420.502668,143.798704,15472.200277,42372.809567,3.526085,471.741736,1427.021352,0.310169,5.039217,45.212535,20.036655,131.752223,1.765523,10.590332,0.385001,219.647058,58.862118,4.869761,3.64,5.013993,62.419123,3.75,18.159116,366.998338,11.123151,32.037978,38.121841,6.772056,18.589022,3.6725,826838.996552
2022-10-17,1.015594,0.874766,82.128406,1.584826,1.371819,1.419873,0.994873,4.702041,148.717152,7.191421,152.508882,0.376,13.402568,5.261696,1.419873,1.986329,967.855746,4701.687934,7.646606,24.968847,7.553315,7.850272,417.867489,143.729048,15427.419419,42333.355749,3.517895,473.2526,1430.992897,0.310063,5.039763,44.572348,19.979699,131.467045,1.770856,10.506758,0.385002,219.714191,58.886638,4.883167,3.64,5.013365,62.490325,3.75,18.00588,366.942064,11.141606,31.971964,38.005558,6.778374,18.588866,3.6725,829316.104733
2022-10-16,1.028616,0.894785,82.299044,1.614636,1.389372,1.426497,1.005911,4.701895,149.07033,7.17666,151.688641,0.376,13.404889,5.329651,1.426497,2.011798,961.958,4697.854719,7.740368,25.307829,7.649953,7.849908,429.374793,144.550031,15409.679807,42025.46363,3.553521,475.922295,1440.922143,0.311302,5.033636,44.499895,20.084361,131.740194,1.796923,10.624053,0.384795,218.14744,59.024781,4.938283,3.64,5.075005,61.174024,3.75,18.322512,365.116947,11.309631,32.018208,38.330484,6.764941,18.519848,3.6725,825154.971659
2022-10-15,1.028535,0.89447,82.321781,1.612814,1.388539,1.427127,1.005505,4.701858,148.779674,7.184925,151.700871,0.376,13.404889,5.319655,1.427127,2.01164,962.141354,4693.493074,7.740301,25.302956,7.650725,7.850256,429.430647,144.549451,15413.233601,42052.455986,3.553037,475.936455,1439.478792,0.31127,5.034637,44.488807,20.08086,131.776591,1.797224,10.659182,0.384803,218.14635,59.024814,4.93828,3.64,5.075341,61.929199,3.75,18.356628,365.13025,11.320371,32.018268,38.327566,6.765455,18.564201,3.6725,825154.960205
2022-10-14,1.02674,0.89204,82.309379,1.607186,1.387385,1.425881,1.004739,4.70193,148.433104,7.191195,151.604633,0.376,13.40489,5.299969,1.425881,2.00813,959.590827,4634.483402,7.725619,25.252057,7.636567,7.850014,428.954473,144.267733,15456.702049,42129.962427,3.553642,475.980066,1437.83696,0.310487,5.034951,44.177776,20.067664,131.756738,1.79517,10.665033,0.38495,219.242406,59.000149,4.940359,3.64,5.065123,62.258009,3.75,18.304027,365.003752,11.311087,31.959891,38.286867,6.780442,18.590737,3.6725,825143.902056
